,avg,color
H,5.185043075084686,medium
He,6.623460702896118,high
Li,3.023645948171616,low
Be,3.6255558013916014,low
B,3.4728901863098143,low
C,4.050516147613525,medium
N,4.77451337814331,medium
O,5.44913652420044,high
F,6.233475332260132,high
Ne,5.389585025310517,high
Na,2.810292501449585,low
Mg,3.225146088600159,low
Al,3.2560129714012147,low
Si,3.2896384477615355,low
P,3.7458548307418815,low
S,4.072983341217041,medium
Cl,4.504359405040741,medium
Ar,4.791716923713684,medium
K,3.62877471446991,low
Ca,4.701508724689484,medium
Sc,2.939950968027115,low
Ti,2.9482822799682618,low
V,3.003884427547455,low
Cr,3.044000257253647,low
Mn,3.123651943206787,low
Fe,3.203311941623688,low
Co,3.306266202926636,low
Ni,3.4196929597854613,low
Cu,3.440686621665954,low
Zn,3.625722615718842,low
Ga,3.760284004211426,low
Ge,3.28720538854599,low
As,3.5712392950057983,low
Se,3.698820724487305,low
Br,3.949452888965607,medium
Kr,4.029470944404602,medium
Rb,4.661448106765747,medium
Sr,4.1822741198539735,medium
Y,3.8425497674942015,medium
Zr,2.908659057617188,low
Nb,2.987431391477585,low
Mo,3.0109594202041627,low
Tc,3.043603546619415,low
Ru,3.104249849319458,low
Rh,3.1833971619606016,low
Pd,2.8766190600395203,low
Ag,3.3541037249565124,low
Cd,3.4821551203727723,low
In,3.605136435031891,low
Sn,3.877296814918518,medium
Sb,3.35175616979599,low
Te,3.4488750767707823,low
I,3.633998305797577,low
Xe,3.667033703327179,low
Cs,3.650474054813385,low
Ba,4.725317776203156,medium
La,3.3984805059432985,low
Ce,4.001191372871399,medium
Pr,3.574614095687866,low
Nd,3.4523700523376464,low
Pm,3.3045700716972357,low
Sm,3.1582039976119995,low
Eu,3.016629891395569,low
Gd,3.5269233179092407,low
Tb,2.812939585447312,low
Dy,2.7447497391700746,low
Ho,2.681863796710968,low
Er,2.6234535217285155,low
Tm,2.5647660994529726,low
Yb,2.520632169246673,low
Lu,2.840398938655853,low
Hf,2.839426364898681,low
Ta,2.7434954714775084,low
W,2.393953641653061,low
Re,2.395437755584717,low
Os,2.4096509182453154,low
Ir,2.4453789305686957,low
Pt,2.6128541576862334,low
Au,2.645938674211502,low
Hg,2.541558517217636,low
Tl,2.8324727845191955,low
Pb,2.9009804368019103,low
Bi,2.946606304645538,low
Po,3.0030559706687927,low
At,3.051109278202057,low
Rn,3.034991362094879,low
Fr,3.4740220665931703,low
Ra,4.328792510032653,medium
Ac,3.098859395980835,low
Th,3.21193519115448,low
Pa,4.16124204158783,medium
U,3.966290967464447,medium
Np,3.8346089625358575,medium
Pu,3.052341682910919,low
Am,2.90861465215683,low
Cm,3.4201873779296874,low
Bk,3.0746531772613523,low
Cf,2.967348070144653,low
Es,2.898479018211365,low
Fm,2.833860638141632,low
